location,size,total_sqft,bath,price,bhk,price_per_sqft,age,age_factor,original_price
1st Phase JP Nagar,3 BHK,2180.0,3.0,144.89999999999998,3,9633.02752293578,23,0.69,210.0
1st Phase JP Nagar,2 BHK,1180.0,2.0,88.5,2,7500.0,2,1.0,88.5
1st Phase JP Nagar,2 BHK,1200.0,2.0,62.78,2,7166.666666666667,21,0.73,86.0
1st Phase JP Nagar,2 BHK,1394.0,2.0,63.75,2,6097.5609756097565,20,0.75,85.0
1st Phase JP Nagar,3 BHK,2077.0,3.0,175.0,3,8425.613866153106,1,1.0,175.0
1st Phase JP Nagar,4 BHK,4550.0,2.0,165.6,4,5274.725274725275,23,0.69,240.0
1st Phase JP Nagar,2 BHK,1205.0,2.0,75.65,2,7053.941908713693,11,0.89,85.0
1st Phase JP Nagar,4 BHK,2615.0,5.0,117.66000000000001,4,8489.483747609942,29,0.53,222.0
1st Phase JP Nagar,2 BHK,900.0,2.0,71.175,2,8333.333333333334,5,0.949,75.0
2nd Phase Judicial Layout,3 BHK,1450.0,2.0,50.75,3,3500.0,1,1.0,50.75
2nd Phase Judicial Layout,2 BHK,1150.0,2.0,23.747500000000002,2,3500.0,27,0.5900000000000001,40.25
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,35.4375,3,3500.0,20,0.75,47.25
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0,0,1.0,47.25
2nd Phase Judicial Layout,2 BHK,900.0,2.0,36.49,2,4555.555555555556,11,0.89,41.0
2nd Phase Judicial Layout,3 BHK,1681.0,3.0,44.85,3,4104.699583581201,25,0.65,69.0
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,34.4925,3,3500.0,21,0.73,47.25
2nd Phase Judicial Layout,2 BHK,1150.0,2.0,22.540000000000003,2,3500.0,28,0.56,40.25
2nd Stage Nagarbhavi,4 Bedroom,1500.0,4.0,195.8,4,14666.666666666666,11,0.89,220.0
2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,134.0,4,14814.814814814816,24,0.67,200.0
2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,186.75,4,18750.0,16,0.83,225.0
2nd Stage Nagarbhavi,4 Bedroom,1500.0,3.0,142.6,4,15333.333333333334,26,0.62,230.0
5th Block Hbr Layout,2 BHK,1206.0,2.0,34.72,2,4643.449419568822,26,0.62,56.0
5th Block Hbr Layout,3 BHK,1270.0,2.0,35.0,3,5511.811023622047,30,0.5,70.0
5th Block Hbr Layout,2 BHK,1312.0,2.0,62.78999999999999,2,5259.1463414634145,9,0.9099999999999999,69.0
5th Block Hbr Layout,2 BHK,1100.0,2.0,28.320000000000004,2,4363.636363636364,27,0.5900000000000001,48.0
5th Block Hbr Layout,5 Bedroom,3600.0,5.0,76.70000000000002,5,3611.1111111111113,27,0.5900000000000001,130.0
5th Block Hbr Layout,6 BHK,5100.0,5.0,255.0,6,5882.35294117647,15,0.85,300.0
5th Phase JP Nagar,2 BHK,1075.0,2.0,51.6,2,5581.395348837209,14,0.86,60.0
5th Phase JP Nagar,2 BHK,1150.0,3.0,27.825000000000003,2,4565.217391304348,29,0.53,52.5
5th Phase JP Nagar,2 BHK,1256.0,2.0,33.284,2,5000.0,29,0.53,62.8
5th Phase JP Nagar,2 BHK,1207.0,2.0,54.18,2,5219.552609776305,14,0.86,63.0
5th Phase JP Nagar,3 BHK,1725.0,2.0,53.0,3,5797.101449275362,29,0.53,100.0
5th Phase JP Nagar,2 BHK,1440.0,2.0,47.400000000000006,2,4166.666666666667,18,0.79,60.0
5th Phase JP Nagar,3 BHK,1700.0,2.0,89.0,3,5882.35294117647,11,0.89,100.0
5th Phase JP Nagar,3 BHK,1485.0,2.0,47.57,3,4511.784511784512,22,0.71,67.0
5th Phase JP Nagar,5 BHK,2500.0,5.0,84.7,5,4400.0,19,0.77,110.0
5th Phase JP Nagar,1 BHK,600.0,1.0,20.1,1,5000.0,24,0.67,30.0
5th Phase JP Nagar,2 BHK,1390.0,2.0,65.0,2,4676.258992805755,2,1.0,65.0
5th Phase JP Nagar,2 BHK,1256.0,2.0,60.66479999999999,2,5000.0,4,0.966,62.8
5th Phase JP Nagar,2 BHK,1000.0,2.0,37.92,2,4800.0,18,0.79,48.0
5th Phase JP Nagar,3 BHK,1350.0,2.0,70.5,3,5555.555555555556,6,0.94,75.0
5th Phase JP Nagar,1 BHK,552.0,1.0,17.625,1,4257.246376811594,20,0.75,23.5
5th Phase JP Nagar,2 BHK,1200.0,2.0,46.919999999999995,2,4250.0,8,0.9199999999999999,51.0
5th Phase JP Nagar,3 BHK,1240.0,3.0,56.4,3,4838.709677419355,6,0.94,60.0
5th Phase JP Nagar,3 BHK,1550.0,3.0,60.74999999999999,3,4838.709677419355,17,0.8099999999999999,75.0
5th Phase JP Nagar,3 BHK,1485.0,2.0,64.878,3,4444.444444444444,3,0.983,66.0
5th Phase JP Nagar,2 BHK,1030.0,2.0,38.190000000000005,2,5533.980582524272,24,0.67,57.0
5th Phase JP Nagar,2 BHK,1200.0,2.0,40.120000000000005,2,5666.666666666667,27,0.5900000000000001,68.0
5th Phase JP Nagar,2 BHK,1190.0,2.0,53.766,2,5193.27731092437,13,0.87,61.8
5th Phase JP Nagar,5 BHK,4000.0,5.0,137.7,5,4250.0,17,0.8099999999999999,170.0
5th Phase JP Nagar,2 BHK,1080.0,2.0,34.45,2,4907.407407407408,25,0.65,53.0
5th Phase JP Nagar,2 BHK,1041.0,2.0,49.67999999999999,2,5187.319884726225,8,0.9199999999999999,54.0
5th Phase JP Nagar,2 BHK,812.0,2.0,27.3,2,5172.413793103448,25,0.65,42.0
5th Phase JP Nagar,2 BHK,1010.0,2.0,42.75,2,5643.564356435643,20,0.75,57.0
5th Phase JP Nagar,3 BHK,1450.0,2.0,73.0,3,5034.482758620689,1,1.0,73.0
5th Phase JP Nagar,2 BHK,1075.0,2.0,46.2,2,5581.395348837209,19,0.77,60.0
6th Phase JP Nagar,2 BHK,1192.0,2.0,43.660000000000004,2,6208.053691275168,27,0.5900000000000001,74.0
6th Phase JP Nagar,2 BHK,1180.0,2.0,68.8,2,6779.661016949152,14,0.86,80.0
6th Phase JP Nagar,4 BHK,3245.0,4.0,147.50000000000003,4,7704.160246533128,27,0.5900000000000001,250.0
6th Phase JP Nagar,3 BHK,1645.0,3.0,94.0,3,6079.0273556231,6,0.94,100.0
6th Phase JP Nagar,2 BHK,1140.0,2.0,57.85,2,5701.754385964912,11,0.89,65.0
6th Phase JP Nagar,3 BHK,2040.0,3.0,112.00000000000001,3,9803.921568627451,28,0.56,200.0
6th Phase JP Nagar,2 BHK,1213.0,2.0,58.589999999999996,2,5193.734542456719,7,0.9299999999999999,63.0
6th Phase JP Nagar,2 BHK,1216.0,2.0,51.6,2,4934.210526315789,14,0.86,60.0
6th Phase JP Nagar,2 BHK,1460.0,2.0,80.0,2,5479.45205479452,2,1.0,80.0
6th Phase JP Nagar,3 BHK,2003.0,3.0,174.0,3,9985.022466300548,13,0.87,200.0
6th Phase JP Nagar,3 BHK,1810.0,3.0,108.72999999999999,3,7237.5690607734805,16,0.83,131.0
6th Phase JP Nagar,3 BHK,1515.0,2.0,132.70499999999998,3,8910.89108910891,3,0.983,135.0
6th Phase JP Nagar,2 BHK,1192.0,2.0,60.74999999999999,2,6291.946308724832,17,0.8099999999999999,75.0
6th Phase JP Nagar,2 BHK,1280.0,2.0,81.83999999999999,2,6875.0,7,0.9299999999999999,88.0
7th Phase JP Nagar,2 BHK,1080.0,2.0,70.776,2,6666.666666666667,3,0.983,72.0
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322.834645669292,1,1.0,93.0
7th Phase JP Nagar,3 BHK,1420.0,2.0,53.0,3,7042.2535211267605,29,0.53,100.0
7th Phase JP Nagar,3 BHK,1850.0,3.0,142.35,3,8108.108108108108,5,0.949,150.0
7th Phase JP Nagar,2 BHK,1245.0,2.0,68.62,2,7550.2008032128515,21,0.73,94.0
7th Phase JP Nagar,2 BHK,1175.0,2.0,74.61999999999999,2,6978.723404255319,9,0.9099999999999999,82.0
7th Phase JP Nagar,3 BHK,1400.0,2.0,93.385,3,6785.714285714285,3,0.983,95.0
7th Phase JP Nagar,3 BHK,2225.0,3.0,116.8,3,7191.011235955056,21,0.73,160.0
7th Phase JP Nagar,2 BHK,1050.0,2.0,39.760000000000005,2,6761.9047619047615,28,0.56,71.0
7th Phase JP Nagar,2 BHK,1100.0,2.0,23.0,2,4181.818181818182,30,0.5,46.0
7th Phase JP Nagar,2 BHK,918.0,2.0,40.896899999999995,2,5500.0,17,0.8099999999999999,50.49
7th Phase JP Nagar,3 BHK,1450.0,2.0,65.0,3,6896.551724137931,25,0.65,100.0
7th Phase JP Nagar,2 BHK,1190.0,2.0,44.4822,2,4200.0,11,0.89,49.98
7th Phase JP Nagar,3 BHK,1420.0,2.0,96.0,3,6760.56338028169,1,1.0,96.0
7th Phase JP Nagar,3 BHK,1680.0,3.0,109.19999999999999,3,7142.857142857143,9,0.9099999999999999,120.0
7th Phase JP Nagar,2 BHK,980.0,2.0,36.57,2,7040.816326530612,29,0.53,69.0
7th Phase JP Nagar,2 BHK,1180.0,2.0,70.776,2,6101.6949152542375,3,0.983,72.0
7th Phase JP Nagar,3 BHK,1050.0,2.0,49.589999999999996,3,5428.571428571428,13,0.87,57.0
7th Phase JP Nagar,3 BHK,1343.0,2.0,28.205,3,4200.297840655249,30,0.5,56.41
7th Phase JP Nagar,3 BHK,1405.0,2.0,50.1585,3,4200.0,15,0.85,59.01
7th Phase JP Nagar,3 BHK,1400.0,3.0,98.89999999999999,3,8214.285714285714,14,0.86,115.0
7th Phase JP Nagar,2 BHK,1270.0,2.0,77.19,2,6535.433070866142,7,0.9299999999999999,83.0
7th Phase JP Nagar,4 Bedroom,3300.0,4.0,130.5,4,4545.454545454545,13,0.87,150.0
7th Phase JP Nagar,4 BHK,2503.0,4.0,133.48,4,7510.986815821015,22,0.71,188.0
7th Phase JP Nagar,3 BHK,2200.0,3.0,112.10000000000001,3,8636.363636363636,27,0.5900000000000001,190.0
7th Phase JP Nagar,3 BHK,1250.0,3.0,43.550000000000004,3,5200.0,24,0.67,65.0
7th Phase JP Nagar,3 BHK,1385.0,2.0,30.8301,3,4200.0,29,0.53,58.17
7th Phase JP Nagar,3 BHK,1575.0,2.0,102.3,3,6984.126984126984,7,0.9299999999999999,110.0
7th Phase JP Nagar,3 BHK,1850.0,3.0,105.0,3,7567.5675675675675,20,0.75,140.0
7th Phase JP Nagar,3 BHK,1575.0,2.0,102.0,3,7619.047619047619,15,0.85,120.0
7th Phase JP Nagar,3 BHK,1850.0,3.0,132.0,3,8108.108108108108,12,0.88,150.0
7th Phase JP Nagar,3 BHK,1680.0,3.0,97.19999999999999,3,7142.857142857143,17,0.8099999999999999,120.0
7th Phase JP Nagar,2 BHK,1175.0,2.0,70.95,2,7021.276595744681,14,0.86,82.5
7th Phase JP Nagar,3 Bedroom,3300.0,4.0,120.0,3,4848.484848484848,20,0.75,160.0
7th Phase JP Nagar,3 Bedroom,2200.0,4.0,72.44999999999999,3,4772.727272727273,23,0.69,105.0
7th Phase JP Nagar,2 BHK,1215.0,2.0,58.5,2,7407.407407407408,25,0.65,90.0
7th Phase JP Nagar,2 BHK,1050.0,2.0,50.25,2,7142.857142857143,24,0.67,75.0
7th Phase JP Nagar,3 BHK,1300.0,3.0,52.58670000000001,3,6856.153846153846,27,0.5900000000000001,89.13
7th Phase JP Nagar,2 BHK,1130.0,2.0,43.07000000000001,2,6460.1769911504425,27,0.5900000000000001,73.0
7th Phase JP Nagar,3 BHK,1450.0,3.0,59.00000000000001,3,6896.551724137931,27,0.5900000000000001,100.0
7th Phase JP Nagar,3 BHK,1350.0,3.0,51.04,3,4296.2962962962965,12,0.88,58.0
7th Phase JP Nagar,2 BHK,1050.0,2.0,46.0,2,4761.9047619047615,8,0.9199999999999999,50.0
7th Phase JP Nagar,2 BHK,1275.0,2.0,48.720000000000006,2,6823.529411764706,28,0.56,87.0
7th Phase JP Nagar,3 BHK,1460.0,3.0,60.199999999999996,3,4794.520547945205,14,0.86,70.0
7th Phase JP Nagar,3 BHK,1650.0,3.0,96.8,3,6666.666666666667,12,0.88,110.0
7th Phase JP Nagar,2 BHK,850.0,2.0,42.0,2,4941.176470588235,0,1.0,42.0
7th Phase JP Nagar,3 BHK,1680.0,3.0,78.39,3,6964.285714285715,24,0.67,117.0
7th Phase JP Nagar,3 BHK,1850.0,3.0,141.0,3,8108.108108108108,6,0.94,150.0
7th Phase JP Nagar,2 BHK,1236.0,2.0,56.42359999999999,2,4961.974110032363,8,0.9199999999999999,61.33
7th Phase JP Nagar,2 BHK,1000.0,2.0,36.57,2,5300.0,23,0.69,53.0
7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191,0,1.0,125.0
7th Phase JP Nagar,3 BHK,1675.0,2.0,120.15,3,8059.701492537313,11,0.89,135.0
7th Phase JP Nagar,2 BHK,1187.0,2.0,54.87,2,4970.513900589722,7,0.9299999999999999,59.0
7th Phase JP Nagar,3 BHK,1850.0,3.0,106.94999999999999,3,8378.378378378378,23,0.69,155.0
7th Phase JP Nagar,2 BHK,1000.0,2.0,30.5,2,6100.0,30,0.5,61.0
7th Phase JP Nagar,3 BHK,1460.0,2.0,89.99999999999999,3,6849.315068493151,10,0.8999999999999999,100.0
7th Phase JP Nagar,3 BHK,1650.0,3.0,86.9,3,6666.666666666667,18,0.79,110.0
7th Phase JP Nagar,2 BHK,1200.0,2.0,51.875,2,5208.333333333333,16,0.83,62.5
7th Phase JP Nagar,2 BHK,1000.0,2.0,65.7045,2,7065.000000000001,7,0.9299999999999999,70.65
7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2,6944.444444444444,2,1.0,75.0
7th Phase JP Nagar,3 BHK,1415.0,3.0,65.0,3,4593.639575971732,2,1.0,65.0
7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191,0,1.0,125.0
7th Phase JP Nagar,3 BHK,1460.0,2.0,60.14,3,6643.835616438356,26,0.62,97.0
7th Phase JP Nagar,2 BHK,1120.0,2.0,62.79,2,5803.571428571428,4,0.966,65.0
7th Phase JP Nagar,2 BHK,1100.0,3.0,54.599999999999994,2,5454.545454545455,9,0.9099999999999999,60.0
7th Phase JP Nagar,3 BHK,1790.0,3.0,112.8,3,6703.91061452514,6,0.94,120.0
7th Phase JP Nagar,3 BHK,1680.0,3.0,76.05,3,6964.285714285715,25,0.65,117.0
7th Phase JP Nagar,2 BHK,1050.0,2.0,70.83999999999999,2,7333.333333333333,8,0.9199999999999999,77.0
7th Phase JP Nagar,2 BHK,1050.0,2.0,44.25000000000001,2,7142.857142857143,27,0.5900000000000001,75.0
7th Phase JP Nagar,2 BHK,1040.0,2.0,70.5,2,7211.538461538462,6,0.94,75.0
7th Phase JP Nagar,3 BHK,1400.0,2.0,87.39999999999999,3,6785.714285714285,8,0.9199999999999999,95.0
7th Phase JP Nagar,3 BHK,1800.0,3.0,120.89999999999999,3,7222.222222222223,7,0.9299999999999999,130.0
7th Phase JP Nagar,2 BHK,1050.0,2.0,60.52,2,6476.190476190476,11,0.89,68.0
7th Phase JP Nagar,2 BHK,1000.0,2.0,60.0,2,6000.0,1,1.0,60.0
7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191,0,1.0,125.0
7th Phase JP Nagar,2 BHK,1050.0,2.0,65.84949999999999,2,7378.0952380952385,15,0.85,77.47
7th Phase JP Nagar,2 BHK,1270.0,2.0,56.8,2,6299.212598425197,22,0.71,80.0
7th Phase JP Nagar,3 BHK,1463.0,2.0,43.6295,3,4200.273410799727,22,0.71,61.45
7th Phase JP Nagar,3 BHK,1680.0,3.0,64.66,3,7261.9047619047615,29,0.53,122.0
7th Phase JP Nagar,2 BHK,1130.0,2.0,58.65,2,7522.123893805309,23,0.69,85.0
7th Phase JP Nagar,3 BHK,1680.0,3.0,125.58,3,7738.0952380952385,4,0.966,130.0
7th Phase JP Nagar,2 BHK,980.0,2.0,77.44,2,7902.040816326531,2,1.0,77.44
7th Phase JP Nagar,3 BHK,1680.0,3.0,99.68,3,6666.666666666667,11,0.89,112.0
7th Phase JP Nagar,3 BHK,1515.0,2.0,70.67999999999999,3,5016.501650165016,7,0.9299999999999999,76.0
7th Phase JP Nagar,3 BHK,2095.0,3.0,109.5,3,7159.904534606205,21,0.73,150.0
7th Phase JP Nagar,3 BHK,1976.0,3.0,89.9,3,7338.056680161943,26,0.62,145.0
7th Phase JP Nagar,3 BHK,1600.0,2.0,110.0,3,6875.0,2,1.0,110.0
7th Phase JP Nagar,3 BHK,1765.0,3.0,118.0,3,6685.552407932011,0,1.0,118.0
7th Phase JP Nagar,3 BHK,1275.0,2.0,88.0,3,6901.9607843137255,2,1.0,88.0
7th Phase JP Nagar,3 BHK,1450.0,2.0,98.532,3,7034.482758620689,4,0.966,102.0
7th Phase JP Nagar,3 BHK,1575.0,2.0,94.6,3,6984.126984126984,14,0.86,110.0
7th Phase JP Nagar,3 BHK,1075.0,2.0,49.589999999999996,3,5302.325581395349,13,0.87,57.0
7th Phase JP Nagar,1 BHK,750.0,1.0,47.0,1,6266.666666666667,2,1.0,47.0
7th Phase JP Nagar,2 BHK,990.0,2.0,50.0,2,5050.50505050505,0,1.0,50.0
7th Phase JP Nagar,1 Bedroom,1000.0,1.0,57.96,1,6000.0,4,0.966,60.0
7th Phase JP Nagar,3 BHK,1680.0,2.0,59.800000000000004,3,5476.190476190476,25,0.65,92.0
7th Phase JP Nagar,3 BHK,1430.0,2.0,72.42,3,7132.867132867133,22,0.71,102.0
7th Phase JP Nagar,2 BHK,1128.0,2.0,30.0,2,5319.148936170212,30,0.5,60.0
7th Phase JP Nagar,2 BHK,1140.0,2.0,49.589999999999996,2,5000.0,13,0.87,57.0
7th Phase JP Nagar,3 BHK,1420.0,3.0,84.6,3,6338.028169014085,6,0.94,90.0
7th Phase JP Nagar,2 BHK,1530.0,2.0,66.96,2,7058.823529411765,26,0.62,108.0
8th Phase JP Nagar,2 BHK,1073.5,2.0,49.684599999999996,2,5030.740568234746,8,0.9199999999999999,54.005
8th Phase JP Nagar,1 BHK,451.0,1.0,25.714,1,6629.711751662971,14,0.86,29.9
8th Phase JP Nagar,3 BHK,1240.0,3.0,37.41,3,3508.064516129032,14,0.86,43.5
8th Phase JP Nagar,2 BHK,1062.0,2.0,27.6055,2,3999.0583804143125,25,0.65,42.47
8th Phase JP Nagar,3 BHK,1230.0,2.0,39.584999999999994,3,3536.5853658536585,9,0.9099999999999999,43.5
8th Phase JP Nagar,3 BHK,1455.0,3.0,43.252900000000004,3,5038.487972508591,27,0.5900000000000001,73.31
8th Phase JP Nagar,2 BHK,871.0,2.0,48.4,2,6314.580941446613,12,0.88,55.0
8th Phase JP Nagar,2 BHK,1098.0,2.0,34.6889,2,3999.089253187614,18,0.79,43.91
8th Phase JP Nagar,3 BHK,1800.0,3.0,40.0,3,4444.444444444444,30,0.5,80.0
8th Phase JP Nagar,4 Bedroom,2700.0,4.0,122.19999999999999,4,4814.814814814815,6,0.94,130.0
8th Phase JP Nagar,2 BHK,1080.0,2.0,31.54,2,3518.5185185185187,16,0.83,38.0
8th Phase JP Nagar,2 BHK,1059.0,2.0,26.565,2,3257.790368271955,19,0.77,34.5
8th Phase JP Nagar,2 BHK,1080.0,2.0,19.6,2,3240.740740740741,28,0.56,35.0
8th Phase JP Nagar,3 BHK,1275.0,2.0,40.7945,3,3254.901960784314,3,0.983,41.5
8th Phase JP Nagar,2 BHK,1062.0,2.0,22.5091,2,3999.0583804143125,29,0.53,42.47
8th Phase JP Nagar,1 BHK,500.0,1.0,29.945999999999998,1,6200.0,4,0.966,31.0
8th Phase JP Nagar,2 BHK,1100.0,2.0,24.849999999999998,2,3181.818181818182,22,0.71,35.0
8th Phase JP Nagar,4 BHK,2100.0,4.0,86.47999999999999,4,4380.952380952381,6,0.94,92.0
8th Phase JP Nagar,2 BHK,1035.0,2.0,34.6104,2,3800.0,12,0.88,39.33
8th Phase JP Nagar,2 BHK,909.0,2.0,35.174,2,4499.4499449945,14,0.86,40.9
8th Phase JP Nagar,3 BHK,1431.5,3.0,64.81799999999998,3,5031.086273140063,10,0.8999999999999999,72.02
8th Phase JP Nagar,3 Bedroom,1900.0,4.0,50.400000000000006,3,4736.8421052631575,28,0.56,90.0
8th Phase JP Nagar,1 BHK,500.0,1.0,29.49,1,6000.0,3,0.983,30.0
8th Phase JP Nagar,2 BHK,1125.0,2.0,32.5072,2,3283.5555555555557,12,0.88,36.94
8th Phase JP Nagar,2 BHK,1100.0,2.0,32.9,2,3181.818181818182,6,0.94,35.0
8th Phase JP Nagar,2 BHK,1089.0,2.0,27.000999999999998,2,3999.0817263544536,26,0.62,43.55
8th Phase JP Nagar,3 BHK,1605.0,2.0,51.35,3,4049.8442367601247,18,0.79,65.0
8th Phase JP Nagar,3 BHK,1504.0,2.0,60.589999999999996,3,5518.617021276596,21,0.73,83.0
8th Phase JP Nagar,4 Bedroom,2600.0,4.0,67.85000000000001,4,4423.076923076923,27,0.5900000000000001,115.0
8th Phase JP Nagar,3 BHK,1368.0,2.0,54.71,3,3999.2690058479534,1,1.0,54.71
8th Phase JP Nagar,2 BHK,1089.0,2.0,39.63049999999999,2,3999.0817263544536,9,0.9099999999999999,43.55
8th Phase JP Nagar,3 BHK,1224.0,2.0,43.076,3,3999.1830065359477,12,0.88,48.95
8th Phase JP Nagar,2 BHK,1513.0,2.0,32.86,2,4097.818902842036,29,0.53,62.0
8th Phase JP Nagar,2 BHK,1298.0,2.0,39.53,2,4545.454545454545,24,0.67,59.0
8th Phase JP Nagar,2 BHK,1006.0,2.0,33.0,2,4373.75745526839,20,0.75,44.0
8th Phase JP Nagar,1 BHK,500.0,1.0,31.317,1,6600.0,5,0.949,33.0
8th Phase JP Nagar,2 BHK,1160.0,2.0,56.050000000000004,2,8189.6551724137935,27,0.5900000000000001,95.0
8th Phase JP Nagar,2 BHK,1245.0,2.0,34.81,2,4738.955823293173,27,0.5900000000000001,59.0
8th Phase JP Nagar,2 BHK,1510.0,2.0,71.2,2,5298.013245033113,11,0.89,80.0
8th Phase JP Nagar,3 BHK,3300.0,3.0,146.85,3,5000.0,11,0.89,165.0
8th Phase JP Nagar,5 Bedroom,1730.0,5.0,57.75,5,4335.260115606937,19,0.77,75.0
8th Phase JP Nagar,3 BHK,1296.0,2.0,27.4699,3,3999.2283950617284,29,0.53,51.83
8th Phase JP Nagar,3 BHK,1275.0,3.0,23.85,3,3529.4117647058824,29,0.53,45.0
8th Phase JP Nagar,2 BHK,1046.0,2.0,43.199999999999996,2,4588.910133843212,10,0.8999999999999999,48.0
8th Phase JP Nagar,3 BHK,1269.0,2.0,32.987500000000004,3,3999.211977935382,25,0.65,50.75
8th Phase JP Nagar,3 BHK,1408.0,3.0,56.8,3,5681.818181818182,22,0.71,80.0
8th Phase JP Nagar,3 BHK,1500.0,2.0,32.45,3,3666.6666666666665,27,0.5900000000000001,55.0
9th Phase JP Nagar,2 BHK,1005.0,2.0,33.5,2,4975.124378109453,24,0.67,50.0
9th Phase JP Nagar,3 BHK,1890.0,2.0,79.89999999999999,3,4497.354497354498,6,0.94,85.0
9th Phase JP Nagar,2 BHK,1100.0,2.0,34.45,2,5909.090909090909,29,0.53,65.0
9th Phase JP Nagar,2 BHK,1080.0,2.0,37.0,2,3425.925925925926,0,1.0,37.0
9th Phase JP Nagar,2 BHK,1035.0,2.0,45.0,2,4347.826086956522,0,1.0,45.0
9th Phase JP Nagar,4 BHK,5000.0,4.0,194.3,4,5800.0,24,0.67,290.0
9th Phase JP Nagar,2 BHK,1164.0,2.0,34.72,2,4810.996563573884,26,0.62,56.0
9th Phase JP Nagar,2 BHK,1005.0,2.0,22.26,2,4179.104477611941,29,0.53,42.0
9th Phase JP Nagar,2 BHK,1127.0,2.0,33.5,2,4436.557231588287,24,0.67,50.0
9th Phase JP Nagar,2 BHK,1005.0,2.0,33.11,2,4278.606965174129,19,0.77,43.0
9th Phase JP Nagar,2 BHK,835.0,2.0,32.56,2,4431.137724550898,12,0.88,37.0
9th Phase JP Nagar,2 BHK,1050.0,2.0,35.879999999999995,2,3714.285714285714,8,0.9199999999999999,39.0
9th Phase JP Nagar,2 BHK,660.0,2.0,27.0,2,4090.909090909091,2,1.0,27.0
9th Phase JP Nagar,1 BHK,600.0,1.0,18.799999999999997,1,3333.3333333333335,6,0.94,20.0
9th Phase JP Nagar,2 BHK,1466.0,2.0,67.37899999999999,2,4843.110504774898,5,0.949,71.0
9th Phase JP Nagar,3 BHK,1890.0,2.0,86.49,3,4920.6349206349205,7,0.9299999999999999,93.0
9th Phase JP Nagar,2 BHK,1079.0,2.0,37.2,2,5560.704355885079,26,0.62,60.0
9th Phase JP Nagar,2 BHK,1480.0,2.0,73.6,2,5405.405405405405,8,0.9199999999999999,80.0
9th Phase JP Nagar,2 Bedroom,1200.0,2.0,42.400000000000006,2,6666.666666666667,29,0.53,80.0
9th Phase JP Nagar,2 BHK,905.0,2.0,30.912,2,3535.9116022099447,4,0.966,32.0
9th Phase JP Nagar,2 BHK,1073.0,2.0,52.36,2,4879.77632805219,0,1.0,52.36
9th Phase JP Nagar,3 BHK,1719.3,2.0,69.52000000000001,3,5118.362124120282,18,0.79,88.0
9th Phase JP Nagar,3 BHK,1780.0,3.0,80.08,3,4943.820224719101,9,0.9099999999999999,88.0
9th Phase JP Nagar,3 BHK,1300.0,2.0,51.62,3,4461.538461538462,11,0.89,58.0
9th Phase JP Nagar,3 BHK,1522.0,3.0,62.099999999999994,3,5913.272010512484,23,0.69,90.0
9th Phase JP Nagar,3 BHK,1571.0,3.0,55.9,3,4137.492043284532,14,0.86,65.0
